level,word,pinyin,english
7-9,保养,bǎoyǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance
7-9,保佑,bǎoyòu,to bless and protect; blessing
7-9,宝藏,bǎozàng,treasure
7-9,保重,bǎozhòng,to take care of oneself
7-9,豹,bào,leopard; panther
7-9,报案,bào’àn,report to the police
7-9,报酬,bàochou,reward; remuneration
7-9,报仇,bàochóu,revenge; vengeance
7-9,报答,bàodá,to repay; to requite
7-9,报复,bàofù,to make reprisals; to retaliate; revenge; retaliation
7-9,抱负,bàofù,aspiration; ambition
7-9,曝光,bàoguāng,to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pù guāng]
7-9,暴利,bàolì,sudden huge profits
7-9,爆满,bàomǎn,"filled to capacity (of theater, stadium, gymnasium etc)"
7-9,报销,bàoxiāo,to submit an expense account; to apply for reimbursement; to write off; to wipe out
7-9,暴躁,bàozào,irascible; irritable; violent
7-9,爆竹,bàozhú,firecracker
7-9,碑,bēi,a monument; an upright stone tablet; stele
7-9,悲哀,bēi’āi,grieved; sorrowful
7-9,悲惨,bēicǎn,miserable; tragic
7-9,背负,bēifù,to carry on one's shoulders; to bear (a burden)
7-9,悲痛,bēitòng,grieved; sorrowful
7-9,卑微,bēiwēi,humble; lowly
7-9,备,bèi,prepare
7-9,备份,bèifèn,backup
7-9,贝壳,bèiké,shell; conch; cowry; mother of pearl; hard outer skin; also pr. [bèi qiào]
7-9,备课,bèikè,(of a teacher) to prepare lessons
7-9,背面,bèimiàn,the back; the reverse side; the wrong side
7-9,背叛,bèipàn,to betray
7-9,背诵,bèisòng,to recite; to repeat from memory
7-9,备忘录,bèiwànglù,memorandum; aide-memoire; memorandum book
7-9,背影,bèiyǐng,figure seen from behind
7-9,备战,bèizhàn,prepare for war
7-9,奔波,bēnbō,to rush about; to be constantly on the move
7-9,奔驰,bēnchí,"Benz (name); Mercedes-Benz, German car maker; to run quickly; to speed; to gallop"
7-9,奔赴,bēnfù,to rush to; to hurry to
7-9,本分,běnfèn,duty; responsibility
7-9,本钱,běnqián,capital; (fig.) asset; advantage; the means (to do sth)
7-9,本事,běnshi,ability; skill
7-9,本性,běnxìng,natural instincts; nature; inherent quality
7-9,本意,běnyì,original idea; real intention; etymon
7-9,本着,běnzhe,based on; in accordance with
7-9,奔,bèn,to go to; to head for; towards; Taiwan pr. [bēn]; variant of 奔
7-9,笨拙,bènzhuō,clumsy; awkward; stupid
7-9,绷,bēng,variant of 绷; to draw tight; to stretch taut; to tack (with thread or pin); embroidery hoop; woven bed mat
7-9,绷带,bēngdài,bandage (loanword)
7-9,崩溃,bēngkuì,to collapse; to crumble; to fall apart
7-9,蹦,bèng,to jump; to bounce; to hop
7-9,迸发,bèngfā,to burst forth
7-9,逼近,bījìn,to press on towards; to close in on; to approach; to draw near
7-9,逼迫,bīpò,to force; to compel; to coerce
7-9,逼真,bīzhēn,lifelike; true to life; distinctly; clearly
7-9,鼻涕,bítì,nasal mucus; snivel; snot
7-9,笔墨,bǐmò,writing and painting; writing materials
7-9,比试,bǐshi,to have a competition; to measure with one's hand or arm; to make a gesture of measuring
