level,word,pinyin,english
7-9,搞鬼,gǎoguǐ,to make mischief; to play tricks
7-9,搞笑,gǎoxiào,to get people to laugh; funny; hilarious
7-9,告,gào,announce
7-9,告辞,gàocí,to say goodbye; to take one's leave
7-9,告知,gàozhī,to inform
7-9,告状,gàozhuàng,"to tell on sb; to complain (to a teacher, a superior etc); to bring a lawsuit"
7-9,搁,gē,to place; to put aside; to shelve
7-9,戈壁,gēbì,Gobi (desert)
7-9,疙瘩,gēda,swelling or lump on skin; pimple; knot; lump; preoccupation; problem
7-9,歌剧,gējù,Western opera
7-9,搁浅,gēqiǎn,to be stranded (of ship); to run aground; fig. to run into difficulties and stop
7-9,歌颂,gēsòng,to sing the praises of; to extol; to eulogize
7-9,歌舞,gēwǔ,singing and dancing
7-9,歌谣,gēyáo,ballad; folk song; nursery rhyme
7-9,鸽子,gēzi,pigeon; dove; various birds of the family Columbidae
7-9,隔阂,géhé,estrangement; estrangement from others
7-9,格局,géjú,structure; pattern; layout
7-9,隔离,gélí,to separate; to isolate
7-9,阁楼,gélóu,attic; garret
7-9,格式,géshi,form; specification; format
7-9,格子,gézi,grid; lattice; checkered
7-9,个案,gè’àn,individual case; special case
7-9,个头儿,gètóur,size; height; stature
7-9,根基,gēnjī,foundation
7-9,跟进,gēnjìn,follow up
7-9,根源,gēnyuán,origin; root (cause)
7-9,根治,gēnzhì,to bring under permanent control; to effect a radical cure
7-9,耕,gēng,to plow; to till
7-9,耕地,gēngdì,arable land; to plow land
7-9,更改,gēnggǎi,to revise the current edition; revised edition
7-9,更衣室,gēngyīshì,change room; dressing room; locker room; (euphemism) toilet
7-9,更正,gēngzhèng,to correct; to make a correction
7-9,哽咽,gěngyè,choke with emotion; sob
7-9,耿直,gěngzhí,honest; frank; candid
7-9,弓,gōng,bow
7-9,功,gōng,meritorious deed or service; achievement; result; service; accomplishment; work (physics)
7-9,公办,gōngbàn,public; state-run; government administered
7-9,供不应求,gōngbúyìngqiú,supply does not meet demand
7-9,功臣,gōngchén,minister who has given outstanding service
7-9,公道,gōngdao,fair; equitable
7-9,功底,gōngdǐ,training in the basic skills; knowledge of the fundamentals
7-9,宫殿,gōngdiàn,palace
7-9,攻读,gōngdú,to major (in a field); to study a specialty to obtain a higher degree
7-9,公费,gōngfèi,at public expense
7-9,公关,gōngguān,public relations
7-9,攻关,gōngguān,to storm a strategic pass; fig. to tackle a key problem
7-9,工匠,gōngjiàng,craftsman
7-9,恭敬,gōngjìng,deferential; respectful
7-9,攻克,gōngkè,capture
7-9,工科,gōngkē,engineering as an academic subject
7-9,公款,gōngkuǎn,public money
7-9,功劳,gōngláo,contribution; meritorious service; credit
7-9,公立,gōnglì,"public (e.g. school, hospital)"
7-9,功利,gōnglì,utility; use; efficacy
7-9,功率,gōnglǜ,rate of work; power (output)
7-9,公墓,gōngmù,public cemetery
7-9,供暖,gōngnuǎn,to supply heating (in a building); heating
7-9,公仆,gōngpú,public servant
7-9,公顷,gōngqǐng,hectare
7-9,供求,gōngqiú,supply and demand (economics)
7-9,公然,gōngrán,openly; publicly; undisguised
7-9,公示,gōngshì,to make known to the public (for information or to seek comments); public notification
7-9,公式,gōngshì,formula
7-9,公事,gōngshì,work-related matters; documents
7-9,攻势,gōngshì,offensive
7-9,宫廷,gōngtíng,court (of king or emperor)
7-9,公务,gōngwù,official business
7-9,供需,gōngxū,supply and demand
7-9,供养,gōngyǎng,support; provide for; rear
7-9,供应链,gōngyìngliàn,supply chain
7-9,公用,gōngyòng,public; for public use
7-9,工整,gōngzhěng,fine work; carefully and neatly done
7-9,公职,gōngzhí,civil service; public office; government job
7-9,拱,gǒng,to cup one's hands in salute; to surround; to arch; to dig earth with the snout; arched
7-9,供奉,gòngfèng,to consecrate; to enshrine and worship; an offering (to one's ancestors); a sacrifice (to a god)
7-9,共和国,gònghéguó,republic
7-9,共鸣,gòngmíng,(physics) to resonate; resonance; sympathetic response
7-9,共识,gòngshí,common understanding; consensus
7-9,共同体,gòngtóngtǐ,community
7-9,共性,gòngxìng,overall character
7-9,勾,gōu,"surname Gou; to attract; to arouse; to tick; to strike out; to delineate; to collude; variant of 钩, hook"
7-9,勾结,gōujié,to collude with; to collaborate with; to gang up with
7-9,勾勒,gōulè,outline
7-9,构建,gòujiàn,build
7-9,够呛,gòuqiàng,unbearable; terrible; enough; unlikely
7-9,构思,gòusī,to design; to plot; to plan out; to compose; to draw a mental sketch; conception; plan; idea; composition
7-9,构想,gòuxiǎng,to conceive; concept
7-9,孤单,gūdān,lone; lonely; loneliness
7-9,辜负,gūfù,to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint
7-9,孤立,gūlì,isolated; to isolate
7-9,孤零零,gūlínglíng,lone; isolated and without help; all alone; solitary
7-9,姑且,gūqiě,for the time being; tentatively
7-9,估算,gūsuàn,assessment; evaluation
7-9,股,gǔ,"thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; low-level administrative unit, translated as ""section"" or ""department"" etc, ranked below 科; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions"
7-9,鼓动,gǔdòng,"to urge (an activity that may be beneficial, harmful or neutral); to encourage; to agitate; to instigate; to incite; to beat; to flap (wings, a fan etc)"
7-9,古董,gǔdǒng,curio; antique
7-9,股东,gǔdōng,shareholder; stockholder
7-9,股份,gǔfèn,a share (in a company); stock
7-9,骨干,gǔgàn,backbone; key member; mainstay
7-9,骨骼,gǔgé,bone; skeleton; framework
7-9,古籍,gǔjí,ancient books
7-9,骨架,gǔjià,skeleton; framework
7-9,股民,gǔmín,stockholder
7-9,古朴,gǔpǔ,"simple and unadorned (of art, architecture etc)"
7-9,骨折,gǔzhé,to suffer a fracture; (of a bone) to break; fracture
7-9,故,gù,"happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead"
7-9,雇,gù,variant of 雇; to employ; to hire; to rent
7-9,固化,gùhuà,solidify
7-9,顾及,gùjí,to take into consideration; to attend to
7-9,顾虑,gùlǜ,misgivings; apprehensions
7-9,固然,gùrán,admittedly (it's true that...)
7-9,雇佣,gùyōng,to employ; to hire
7-9,雇员,gùyuán,employee
7-9,固执,gùzhi,obstinate; stubborn; to fixate on; to cling to
7-9,雇主,gùzhǔ,employer
7-9,瓜分,guāfēn,to partition; to divide up
7-9,瓜子,guāzǐ,"melon seed; seeds of pumpkin, watermelon or sunflower etc, roasted and flavored, consumed as a snack"
7-9,寡妇,guǎfu,widow
7-9,挂念,guàniàn,concerned
7-9,挂失,guàshī,to report the loss of something
7-9,乖,guāi,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal"
7-9,乖巧,guāiqiǎo,clever (child); smart; lovable; cute
7-9,拐杖,guǎizhàng,crutches; crutch; walking stick
7-9,怪不得,guàibude,no wonder!; so that's why!
7-9,怪物,guàiwu,monster; freak; eccentric person
7-9,怪异,guàiyì,monstrous; strange; strange phenomenon
7-9,官兵,guānbīng,(military) officers and soldiers; officers and men; (old) government troops
7-9,棺材,guāncai,coffin
7-9,观测,guāncè,to observe; to survey; observation (scientific etc)
7-9,观感,guāngǎn,impression
7-9,关节,guānjié,joint (physiology); key point; critical phase
7-9,官僚,guānliáo,bureaucrat; bureaucracy; bureaucratic
7-9,观摩,guānmó,to observe and emulate; to study (esp. following sb's example)
7-9,关切,guānqiè,concerned
7-9,关税,guānshuì,tariff
7-9,官司,guānsi,lawsuit
7-9,关照,guānzhào,to take care; to keep an eye on; to look after; to tell; to remind
7-9,管家,guǎnjiā,(old) butler; steward; manager; administrator; housekeeper; to manage a household
7-9,管教,guǎnjiào,to discipline; to teach; to guarantee
7-9,管辖,guǎnxiá,to administer; to have jurisdiction (over)
7-9,管用,guǎnyòng,efficacious; useful
7-9,惯,guàn,accustomed to; used to; indulge; to spoil (a child)
7-9,灌,guàn,to irrigate; to pour; to install (software); to record (music)
7-9,贯彻,guànchè,to implement; to put into practice; to carry out
7-9,贯穿,guànchuān,to run through; a connecting thread from beginning to end; to link
7-9,灌溉,guàngài,to irrigate
7-9,灌输,guànshū,to imbue with; to inculcate; to instill into; to teach; to impart; to channel water to another place
7-9,贯通,guàntōng,to link up; to thread together
7-9,罐头,guàntou,canned food
7-9,惯性,guànxìng,(physics) inertia; (fig.) force of habit; tendency to do things in the accustomed way; habitual
7-9,光彩,guāngcǎi,luster; splendor; radiance; brilliance
7-9,光顾,guānggù,to visit (as a customer)
7-9,光滑,guānghuá,glossy; sleek; smooth
7-9,光辉,guānghuī,radiance; glory; brilliant; magnificent
7-9,光缆,guānglǎn,optical cable
7-9,光芒,guāngmáng,rays of light; brilliant rays; radiance
7-9,光盘,guāngpán,compact disc (CD); DVD; CD-ROM
7-9,光荣,guāngróng,honor and glory; glorious
7-9,光泽,guāngzé,Guangze county in Nanping 平 Fujian; luster; gloss
7-9,广义,guǎngyì,broad sense; general sense
7-9,龟,guī,tortoise; turtle
7-9,瑰宝,guībǎo,gem; (fig.) rare and valuable item; treasure
7-9,规格,guīgé,standard; norm; specification
7-9,归结,guījié,to sum up; to conclude; to put in a nutshell; conclusion; end (of a story etc)
7-9,归纳,guīnà,to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)
7-9,归属,guīshǔ,to belong to; to be affiliated to; to fall under the jurisdiction of; a place where one feels that one belongs; one's final destination (where one need look no further)
7-9,归宿,guīsù, a home to return to 
7-9,归于,guīyú,to return to
7-9,轨迹,guǐjì,locus; orbit; trajectory; track
7-9,诡计,guǐjì,trick; ruse
7-9,贵宾,guìbīn,honored guest; distinguished guest; VIP
7-9,桂花,guìhuā,osmanthus flowers; Osmanthus fragrans
7-9,柜台,guìtái,"variant of 柜台; sales counter; front desk; bar; (of markets, medicines etc) OTC (over-the-counter)"
7-9,贵族,guìzú,lord; nobility; nobleman; noblewoman; aristocrat; aristocracy
7-9,滚动,gǔndòng,to roll; (to do sth) in a loop; to scroll (computing); to progressively expand (economics); to rumble (of thunder)
7-9,国防,guófáng,national defense
7-9,国徽,guóhuī,the national emblem of the PRC (a red circle containing the five stars of the PRC flag over Tiananmen 天安门); national emblem; national coat of arms
7-9,国民,guómín,nationals; citizens; people of a nation
7-9,国务院,guówùyuàn,State Council (PRC); State Department (USA)
7-9,国学,guóxué,Chinese national culture; studies of ancient Chinese civilization; the Imperial College (history)
7-9,国有,guóyǒu,state-owned
7-9,裹,guǒ,to wrap around; bundle; parcel; package; to press into service; to pressgang; to make off with (sth)
7-9,果断,guǒduàn,firm; decisive
7-9,果真,guǒzhēn,really; as expected; sure enough; if indeed...; if it's really...
7-9,过意不去,guò yì bú qù,to feel very apologetic
7-9,过不去,guòbuqù,to make life difficult for; to embarrass; unable to make it through
7-9,过错,guòcuò,mistake; fault; responsibility (for a fault)
7-9,过道,guòdào,passageway; corridor; aisle
7-9,过关,guòguān,to cross a barrier; to get through (an ordeal); to pass (a test); to reach (a standard)
7-9,过奖,guòjiǎng,to overpraise; to flatter
7-9,过境,guòjìng,to pass through a country's territory; transit
7-9,过量,guòliàng,excessive amount
7-9,过滤,guòlǜ,to filter; filter
7-9,过剩,guòshèng,to be excessive; to be more than is required
7-9,过失,guòshī,error; fault; (law) negligence; delinquency
7-9,过头,guòtóu,to overdo it; to overstep the limit; excessively; above one's head; overhead
7-9,过往,guòwǎng,past
7-9,过问,guòwèn,to show an interest in; to get involved with
7-9,过硬,guòyìng,to have perfect mastery of sth; to be up to the mark
7-9,海报,hǎibào,poster; playbill; notice
7-9,海滨,hǎibīn,shore; seaside
7-9,海盗,hǎidào,pirate
7-9,海军,hǎijūn,navy
7-9,海滩,hǎitān,beach
7-9,海豚,hǎitún,dolphin
7-9,海湾,hǎiwān,(Persian) Gulf; bay; gulf
7-9,海峡,hǎixiá,strait; channel
7-9,海啸,hǎixiào,tsunami
7-9,海运,hǎiyùn,shipping by sea
7-9,海藻,hǎizǎo,seaweed; marine alga; kelp
7-9,害虫,hàichóng,injurious insect; pest
7-9,骇人听闻,hàiréntīngwén,shocking; horrifying; atrocious; terrible
7-9,酣畅,hānchàng,"unrestrained; cheerful lack of inhibition, esp. for drinking or sleeping; to drink with abandon"
7-9,酣睡,hānshuì,to sleep soundly; to fall into a deep sleep
7-9,函,hán,case; envelop
7-9,寒带,hándài,frigid zone
7-9,涵盖,hángài,to cover; to comprise; to include
7-9,含糊,hánhu,ambiguous; vague; careless; perfunctory
7-9,含蓄,hánxù,"to contain; to hold; (of a person or style etc) reserved; restrained; (of words, writings) full of hidden meaning; implicit; veiled (criticism)"
7-9,寒暄,hánxuān,to exchange conventional greetings; to exchange pleasantries
7-9,捍卫,hànwèi,to defend; to uphold; to safeguard
7-9,夯实,hāngshí,to consolidate
7-9,航海,hánghǎi,to sail the seas; maritime navigation; voyage
7-9,行家,hángjia,connoisseur; expert; veteran
7-9,行列,hángliè,"formation; array; (fig.) ranks (as in ""join the ranks of ..."")"
7-9,行情,hángqíng,market price; quotation of market price; the current market situation
7-9,航天,hángtiān,space flight
7-9,航天员,hángtiānyuán,astronaut
7-9,航行,hángxíng,to sail; to fly; to navigate
7-9,航运,hángyùn,shipping; transport
7-9,豪华,háohuá,luxury; magnificent
7-9,豪迈,háomài,bold; open-minded; heroic
7-9,好歹,hǎodǎi,good and bad; most unfortunate occurrence; in any case; whatever
7-9,好受,hǎoshòu,feeling better; easier to bear
7-9,好说,hǎoshuō,easy to deal with; not a problem; (polite answer) you flatter me
7-9,好似,hǎosì,to seem like; as if
7-9,好心,hǎoxīn,kindness; good intentions
7-9,耗,hào,to waste; to spend; to consume; to squander; news; (coll.) to delay; to dilly-dally
7-9,号称,hàochēng,to be known as; to be nicknamed; to be purportedly; to claim (often exaggeratedly or falsely)
7-9,耗费,hàofèi,to waste; to spend; to consume; to squander
7-9,浩瀚,hàohàn,vast; boundless
7-9,浩劫,hàojié,calamity; catastrophe; apocalypse
7-9,好胜,hàoshèng,competitive
7-9,耗时,hàoshí,time-consuming; to take a period of (x amount of time)
7-9,呵,hē,expel breath; my goodness
7-9,呵护,hēhù,to bless; to cherish; to take good care of; to conserve
7-9,何,hé,what; how; why; which
7-9,核,hé,pit; stone; nucleus; nuclear; to examine; to check; to verify; variant of 核; to investigate
7-9,和蔼,hé’ǎi,kindly; nice; amiable
7-9,何必,hébì,why; there is no need
7-9,核查,héchá,to check; to verify; verification; inspection
7-9,合唱,héchàng,chorus; to chorus
7-9,何等,héděng,what kind of; how great
7-9,核电站,hédiànzhàn,nuclear power plant
7-9,和好,héhǎo,to make peace; to become reconciled
7-9,合乎,héhū,to accord with; to conform to
7-9,荷花,héhuā,lotus
7-9,合伙,héhuǒ,to act jointly; to form a partnership
7-9,合计,héjì,to add up the total; to figure what sth amounts to; to consider
7-9,和解,héjiě,to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled
7-9,何苦,hékǔ,why bother?; is it worth the trouble?
7-9,何况,hékuàng,let alone; to say nothing of; besides; what's more
7-9,禾苗,hémiáo,seedling (of rice or other grain)
7-9,和睦,hémù,peaceful relations; harmonious
7-9,核能,hénéng,nuclear energy
7-9,河畔,hépàn,river bank; riverside
7-9,和平共处,hépíng gòngchǔ,"peaceful coexistence of nations, societies etc"
7-9,和尚,héshang,Buddhist monk
7-9,核实,héshí,to verify; to check
7-9,核桃,hétao,walnut
7-9,核武器,héwǔqì,nuclear weapon
7-9,合约,héyuē,treaty; contract
7-9,喝彩,hècǎi,to acclaim; to cheer
7-9,贺电,hèdiàn,congratulatory telegram
7-9,鹤立鸡群,hèlìjīqún,a crane in a flock of chicken (idiom); way above the common; manifestly superior
7-9,赫然,hèrán,with astonishment; with a shock; awe-inspiringly; impressively; furiously (angry)
7-9,贺信,hèxìn,congratulatory letter or message
7-9,黑客,hēikè,hacker (computing) (loanword)
7-9,黑马,hēimǎ,dark horse; fig. unexpected winner
7-9,黑名单,hēimíngdān,blacklist
7-9,恨不得,hènbude,wishing one could do sth; to hate to be unable; itching to do sth
7-9,哼,hēng,to groan; to snort; to hum; to croon; humph!
7-9,横向,héngxiàng,horizontal; orthogonal; perpendicular; lateral; crosswise
7-9,恒星,héngxīng,star (stellar)
7-9,轰,hōng,to make a bang; to explode; to boom; to resound; to make a fuss; to take (an exam, etc.) in one go
7-9,烘,hōng,to bake; to heat by fire; to set off by contrast
7-9,烘焙,hōngbèi,to bake; to roast
7-9,轰动,hōngdòng,to cause a sensation; to create a stir in (a place); commotion; controversy
7-9,烘干,hōnggān,to dry over a stove
7-9,烘托,hōngtuō,background (of a painting); backdrop; a foil (to set off something to advantage); to offset (something to advantage)
7-9,轰炸,hōngzhà,to bomb; to bombard
7-9,宏观,hóngguān,macro-; macroscopic; holistic
7-9,红火,hónghuo,prosperous
7-9,红利,hónglì,bonus; dividend
7-9,洪亮,hóngliàng,loud and clear; resonant
7-9,红扑扑,hóngpūpū,red; rosy; flushed
7-9,红润,hóngrùn,ruddy; rosy; florid
7-9,红薯,hóngshǔ,sweet potato
7-9,宏伟,hóngwěi,grand; imposing; magnificent
7-9,弘扬,hóngyáng,to enhance; to promote; to enrich
7-9,哄,hǒng,to cajole; to coax; to fool; to cheat; to instigate
7-9,喉咙,hóulóng,the throat
7-9,后备,hòubèi,reserve; backup
7-9,后备箱,hòubèixiāng,trunk; boot (of a car)
7-9,厚道,hòudao,kind and honest; generous; sincere
7-9,后盾,hòudùn,support; backing
7-9,后顾之忧,hòugùzhīyōu,"fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning ""no worries about anything"""
7-9,后台,hòutái,backstage area; behind-the-scenes supporter; (computing) back-end; background
7-9,后续,hòuxù,follow-up; (dialect) to remarry
7-9,候选人,hòuxuǎnrén,candidate
7-9,后裔,hòuyì,descendant
7-9,后遗症,hòuyízhèng,(medicine) sequelae; residual effects; (fig.) repercussions; aftermath
7-9,呼,hū,to breathe out; to exhale; variant of 呼
7-9,呼唤,hūhuàn,to call out (a name etc); to shout
7-9,呼救,hūjiù,to call for help
7-9,呼声,hūshēng,"a shout; fig. opinion or demand, esp. expressed by a group"
7-9,呼应,hūyìng,to conform (with); to echo; to correlate well; (linguistics) agreement
7-9,忽悠,hūyou,to rock; to sway; to flicker (e.g. of lights reflected on water); to flutter (e.g. of a flag); to trick sb into doing sth; to dupe; to con
7-9,呼吁,hūyù,to call on; to appeal (for help etc)
7-9,糊,hú,variant of 糊; muddled; paste; scorched; congee; making a living
7-9,狐狸,húli,fox
7-9,胡乱,húluàn,careless; reckless; casually; absent-mindedly; at will; at random; any old how
7-9,胡闹,húnào,to act willfully and make a scene; to make trouble
7-9,胡说,húshuō,to talk nonsense; drivel
7-9,糊涂,hútu,muddled; silly; confused
7-9,护,hù,to protect
7-9,互补,hùbǔ,complementary; to complement each other
7-9,护理,hùlǐ,to nurse; to tend and protect
7-9,花瓣,huābàn,petal
7-9,花卉,huāhuì,flowers and plants
7-9,花蕾,huālěi,flower bud
7-9,花纹,huāwén,decorative design
7-9,花样,huāyàng,pattern; way of doing sth; trick; ruse; fancy-style (as in 花样滑冰 figure skating)
7-9,划不来,huábulái,be not worth it; do not pay
7-9,划得来,huádelái,be worth it; pay
7-9,华丽,huálì,gorgeous
7-9,华侨,huáqiáo,overseas Chinese; (in a restricted sense) Chinese emigrant who still retains Chinese nationality
7-9,哗然,huárán,in uproar; commotion; causing a storm of protest; tumultuous; variant of 哗然
7-9,华人,huárén,Chinese person
7-9,划算,huásuàn,to calculate; to weigh (pros and cons); to view as profitable; worthwhile; value for money; cost-effective
7-9,画册,huàcè,picture album
7-9,化肥,huàféi,fertilizer
7-9,化解,huàjiě,to dissolve; to resolve (contradictions); to dispel (doubts); to iron out (difficulties); to defuse (conflicts); to neutralize (fears)
7-9,化身,huàshēn,incarnation; reincarnation; embodiment (of abstract idea); personification
7-9,划时代,huàshídài,epoch-marking
7-9,化险为夷,huàxiǎnwéiyí,to turn peril into safety (idiom); to avert disaster
7-9,化验,huàyàn,chemical examination; to do a lab test
7-9,话语,huàyǔ,words; speech; utterance; discourse
7-9,怀旧,huáijiù,to feel nostalgic; nostalgia
7-9,槐树,huáishù,locust tree (Sophora japonica)
7-9,欢呼,huānhū,cheer; acclaim; hail
7-9,欢聚,huānjù,to get together socially; to celebrate; party; celebration
7-9,欢快,huānkuài,cheerful and lighthearted; lively
7-9,环比,huánbǐ,comparative (analysis)
7-9,环绕,huánrào,to surround; to circle; to revolve around
7-9,缓,huǎn,slow; unhurried; sluggish; gradual; not tense; relaxed; to postpone; to defer; to stall; to stave off; to revive; to recuperate
7-9,缓和,huǎnhé,to ease (tension); to alleviate; to moderate; to allay; to make more mild
7-9,焕发,huànfā,to shine; to glow; to irradiate; to flash
7-9,幻觉,huànjué,illusion; hallucination; figment of one's imagination
7-9,唤起,huànqǐ,"to waken (to action); to rouse (the masses); to evoke (attention, recollection etc)"
7-9,换取,huànqǔ,to obtain (sth) in exchange; to exchange (sth) for (sth else)
7-9,唤醒,huànxǐng,to awaken (to action); to rouse (the masses); to evoke (attention, recollection etc)
7-9,幻影,huànyǐng,phantom; mirage
7-9,荒,huāng,desolate; shortage; scarce; out of practice; absurd; uncultivated; to neglect
7-9,慌,huāng,flustered; in a panic; to panic
7-9,荒诞,huāngdàn,beyond belief; incredible; preposterous; fantastic
7-9,慌乱,huāngluàn,frenetic; hurried
7-9,慌忙,huāngmáng,in a great rush; in a flurry
7-9,荒谬,huāngmiù,absurd; ridiculous
7-9,荒唐,huāngtáng,absurd; preposterous
7-9,慌张,huāngzhāng,flustered; agitated
7-9,黄昏,huánghūn,dusk; evening; nightfall
7-9,皇上,huángshang,the emperor; Your majesty the emperor; His imperial majesty
7-9,皇室,huángshì,royal family; imperial household; member of the royal family
7-9,晃,huǎng,variant of 晃; to dazzle; to flash past
7-9,谎话,huǎnghuà,lie
7-9,谎言,huǎngyán,lie
7-9,晃,huàng,to sway; to shake; to wander about
7-9,晃荡,huàngdang,to rock; to sway; to shake
7-9,辉煌,huīhuáng,splendid; glorious
7-9,挥舞,huīwǔ,wave; brandish; shake; wield
7-9,回避,huíbì,variant of 回避; to shun; to avoid (sb); to skirt; to evade (an issue); to step back; to withdraw; to recuse (a judge etc)
7-9,回归,huíguī,return
7-9,回合,huíhé,round
7-9,回馈,huíkuì,to repay a favor; to give back; feedback
7-9,回落,huíluò,"to fall back; to return to low level after a rise (in water level, price etc)"
7-9,回升,huíshēng,to rise again after a fall; to pick up; rally (stock market etc)
7-9,回味,huíwèi,to call to mind and ponder over; aftertaste
7-9,回想,huíxiǎng,to recall; to recollect; to think back
7-9,回忆录,huíyìlù,memoir
7-9,回应,huíyìng,to respond; response
7-9,毁,huǐ,to destroy; to ruin; to defame; to slander; to destroy by fire; variant of 毁; to defame; to slander
7-9,悔恨,huǐhèn,remorse; repentance
7-9,毁坏,huǐhuài,to damage; to devastate; to vandalize; damage; destruction
7-9,毁灭,huǐmiè,to perish; to ruin; to destroy
7-9,会场,huìchǎng,meeting place; place where people gather
7-9,汇合,huìhé,confluence; to converge; to join; to fuse; fusion
7-9,汇集,huìjí,to collect; to compile; to converge; also written 汇集
7-9,汇聚,huìjù,to gather; to converge
7-9,贿赂,huìlù,to bribe; a bribe
7-9,会谈,huìtán,talks; discussions
7-9,会晤,huìwù,to meet; meeting; conference
7-9,会意,huìyì,to understand each other; to concur
7-9,会诊,huìzhěn,consultation (medical); to meet for diagnosis; (by extension) consultation of different specialists
7-9,荤,hūn,non-vegetable food; meat
7-9,昏迷,hūnmí,to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented
7-9,婚纱,hūnshā,wedding dress
7-9,浑身,húnshēn,all over; from head to foot
7-9,混淆,hùnxiáo,to obscure; to confuse; to mix up; to blur; to mislead
7-9,混浊,hùnzhuó,turbid; muddy; dirty
7-9,豁,huō,opening; stake all; sacrifice; crack; slit
7-9,豁出去,huōchuqu,to throw caution to the wind; to press one's luck; to go for broke
7-9,活该,huógāi,(coll.) serve sb right; deservedly; ought; should
7-9,活期,huóqī,(banking) current (account); checking (account); demand (deposit etc)
7-9,火候,huǒhou,heat control; (fig.) mastery; (fig.) crucial moment
7-9,火花,huǒhuā,spark; sparkle
7-9,火箭,huǒjiàn,rocket
7-9,火炬,huǒjù,(flaming) torch
7-9,火辣辣,huǒlàlà,painful heat; scorching; rude and forthright; provocative; hot; sexy
7-9,火热,huǒrè,fiery; burning; fervent; ardent; passionate
7-9,火山,huǒshān,volcano
7-9,火速,huǒsù,at top speed; at a tremendous lick
7-9,火腿,huǒtuǐ,ham
7-9,火焰,huǒyàn,blaze; flame
7-9,豁达,huòdá,optimistic; sanguine; generous; magnanimous; open-minded
7-9,祸害,huòhai,disaster; harm; scourge; bad person; to damage; to harm; to wreck
7-9,获悉,huòxī,to learn of sth; to find out; to get news
7-9,货运,huòyùn,freight transport; cargo; transported goods
7-9,积,jī,to amass; to accumulate; to store; measured quantity (such as area of volume); product (the result of multiplication); to integrate (math.); to solve (or integrate) an ordinary differential equation (math.); old; long-standing
7-9,基本功,jīběngōng,basic skills; fundamentals
7-9,机舱,jīcāng,cabin of a plane
7-9,基层,jīcéng,grassroots level; basic level
7-9,激荡,jīdàng,to agitate; to churn; to make waves; turbulent
7-9,机动,jīdòng,"locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)"
7-9,肌肤,jīfū,skin; flesh; fig. close physical relationship
7-9,机关,jīguān,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick
7-9,激光,jīguāng,laser
7-9,激化,jīhuà,to intensify
7-9,基金会,jījīnhuì,foundation
7-9,机灵,jīling,clever; quick-witted
7-9,机密,jīmì,secret; classified (information)
7-9,激起,jīqǐ,to arouse; to evoke; to cause; to stir up
7-9,激素,jīsù,hormone
7-9,讥笑,jīxiào,to sneer
7-9,畸形,jīxíng,deformity; abnormality
7-9,积蓄,jīxù,to save; to put aside; savings
7-9,基于,jīyú,because of; on the basis of; in view of; on account of
7-9,积攒,jīzǎn,save bit by bit; collect bit by bit
7-9,机智,jīzhì,quick-witted; resourceful
7-9,基准,jīzhǔn,(surveying) datum; standard; criterion; benchmark
7-9,即,jí,approach; reach; be near
7-9,级别,jíbié,(military) rank; level; grade
7-9,急促,jícù,brief and rapid; hurried; rushed
7-9,极度,jídù,extremely
7-9,嫉妒,jídù,to be jealous of; to envy
7-9,籍贯,jíguàn,one's native place; place of ancestry; registered birthplace
7-9,集会,jíhuì,to gather; assembly; meeting
7-9,急剧,jíjù,rapid; sudden
7-9,即可,jíkě,equivalent to 就可以; can then (do sth); can immediately (do sth); (do sth) and that will suffice
7-9,吉利,jílì,"Geely, Chinese car make; auspicious; lucky; propitious"
7-9,极力,jílì,to make a supreme effort; at all costs
7-9,急迫,jípò,urgent; pressing; imperative
7-9,汲取,jíqǔ,to draw; to draw on; to absorb
7-9,即日,jírì,this day; today; immediately
7-9,即时,jíshí,instantaneous; on the spot
7-9,集市,jíshì,market
7-9,棘手,jíshǒu,tricky; difficult; thorny; hard to handle
7-9,极限,jíxiàn,limit; extreme boundary
7-9,吉祥物,jíxiángwù,mascot
7-9,急性,jíxìng,acute
7-9,急于,jíyú,to be eager to do sth; too hasty; anxious to
7-9,集装箱,jízhuāngxiāng,container (for shipping)
7-9,集资,jízī,to raise money; to accumulate funds
7-9,脊梁,jǐliáng,backbone; spine; Taiwan pr. [jǐ liang]
7-9,挤压,jǐyā,to squeeze; to press; to extrude
7-9,计,jì,surname Ji; to calculate; to compute; to count; to regard as important; to plan; ruse; meter; gauge
7-9,忌,jì,to be jealous of; fear; dread; scruple; to avoid or abstain from; to quit; to give up sth
7-9,剂,jì,dose (medicine)
