level,word,pinyin,english
6,岸,àn,variant of 岸; bank; shore; beach; coast
6,案例,ànlì,"case (of fraud, hepatitis, international cooperation etc); instance; example"
6,按摩,ànmó,massage; to massage
6,暗示,ànshì,to hint; to suggest; implication
6,昂贵,ángguì,expensive; costly
6,摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum
6,摆放,bǎifàng,to set up; to arrange; to lay out
6,百分点,bǎifēndiǎn,percentage point
6,百货,bǎihuò,general merchandise
6,摆脱,bǎituō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
6,败,bài,to defeat; to damage; to lose (to an opponent); to fail; to wither
6,拜访,bàifǎng,to pay a visit; to call on
6,拜年,bàinián,to pay a New Year call; to wish sb a Happy New Year
6,版,bǎn,a register; block of printing; edition; version; page
6,版本,bǎnběn,version; edition; release
6,扮演,bànyǎn,to play the role of; to act
6,榜样,bǎngyàng,example; model
6,棒球,bàngqiú,baseball
6,保管,bǎoguǎn,to hold in safekeeping; to have in one's care; to guarantee; certainly; surely; custodian; curator
6,保健,bǎojiàn,health protection; health care; to maintain in good health
6,保暖,bǎonuǎn,to keep warm
6,保修,bǎoxiū,to promise to keep sth in good repair; guarantee; warranty
6,爆,bào,to explode or burst; to quick fry or quick boil
6,爆发,bàofā,to break out; to erupt; to explode; to burst out
6,报刊,bàokān,newspapers and periodicals; the press
6,暴力,bàolì,violence; force; violent
6,暴露,bàolù,to expose; to reveal; to lay bare; also pr. [pù lù]
6,报社,bàoshè,newspaper (i.e. a company)
6,爆炸,bàozhà,explosion; to explode; to blow up; to detonate
6,悲观,bēiguān,pessimistic
6,悲剧,bēijù,tragedy
6,悲伤,bēishāng,sad; sorrowful
6,北极,běijí,the North Pole; the Arctic Pole; the north magnetic pole
6,北美洲,Běiměizhōu,North America
6,被动,bèidòng,passive
6,背心,bèixīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc)"
6,备用,bèiyòng,reserve; spare; alternate; backup
6,倍增,bèizēng,double; multiply
6,奔跑,bēnpǎo,to run
6,本能,běnnéng,instinct
6,逼,bī,variant of 逼; to compel; to pressure; to force (sb to do sth); to press for; to extort; to press on towards; to press up to; to close in on; euphemistic variant of 屄
6,比方,bǐfang,analogy; instance; for instance
6,比重,bǐzhòng,proportion; specific gravity
6,闭,bì,to close; to stop up; to shut; to obstruct
6,避,bì,to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from
6,必修,bìxiū,(of an academic course) required; compulsory
6,编,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up
6,编辑,biānjí,to edit; to compile; editor; compiler
6,编写,biānxiě,to compile
6,遍地,biàndì,everywhere; all over
6,变质,biànzhì,to degenerate; to deteriorate; (of food) to go bad; to go off; (geology) metamorphism
6,兵,bīng,soldiers; a force; an army; weapons; arms; military; warlike
6,病毒,bìngdú,virus
6,播,bō,to sow; to scatter; to spread; to broadcast; Taiwan pr. [bò]
6,播种,bōzhǒng,to sow seeds
6,博览会,bólǎnhuì,exposition; international fair
6,薄弱,bóruò,weak; frail
6,不顾,búgù,in spite of; regardless of
6,不料,búliào,unexpectedly; to one's surprise
6,不适,búshì,unwell; indisposed; out of sorts
6,不至于,búzhìyú,unlikely to go so far as to; not as bad as
6,补,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement
6,捕,bǔ,to catch; to seize; to capture
6,补偿,bǔcháng,to compensate; to make up
6,补课,bǔkè,to make up missed lesson; to reschedule a class
6,补贴,bǔtiē,to subsidize; subsidy; allowance; to supplement (one's salary etc); benefit
